id;birthdate;buts_e;buts_m;club;matchs_j;meilleur pied;nom;pass_d;poids;poste;prenom;salaire;taille
109;2002-02-25;0.0;0.0;9;11.0;Left;AKLIOUCHE;0.0;63.0;Milieu;Maghnes;0.01;183.0
110;1999-01-23;0.0;0.0;9;13.0;Left;SARR;0.0;75.0;Défenseur;Malang;0.601667;183.0
111;2000-01-06;0.0;0.0;9;29.0;Right;CAMARA;3.0;65.0;Milieu;Mohamed;0.1;173.0
112;2001-01-14;0.0;3.0;9;12.0;Right;BOADU;0.0;67.0;Attaquant;Myron;0.1175;181.0
113;1999-11-16;0.0;0.0;9;0.0;Right;MAJECKI;0.0;78.0;Gardien;Radoslaw;0.103;193.0
114;1993-04-26;0.0;0.0;9;20.0;Right;AGUILAR;0.0;71.0;Défenseur;Ruben;0.125;170.0
115;1995-01-16;0.0;1.0;9;18.0;Right;MINAMINO;3.0;67.0;Attaquant;Takumi;0.383333;172.0
116;1995-11-28;0.0;0.0;9;0.0;Left;DIDILLON;0.0;88.0;Gardien;Thomas;0.028333;191.0
117;2002-03-14;0.0;0.0;9;0.0;Left;RIBEIRO;0.0;73.0;Défenseur;Tiago;0.025;185.0
118;1978-01-15;0.0;1.0;9;31.0;Right;VANDERSON;4.0;76.0;Défenseur;VANDERSO;0.25;183.0
119;1990-08-12;0.0;19.0;9;32.0;Right;BEN YEDDER;5.0;68.0;Attaquant;Wissam;0.65;170.0
120;2003-03-16;0.0;0.0;9;0.0;Right;LIENARD;0.0;82.0;Gardien;Yann;0.005;192.0
121;2002-12-23;0.0;0.0;9;0.0;Left;OKOU;0.0;77.0;Défenseur;Yllan;0.0075;180.0
122;1999-01-10;0.0;2.0;9;36.0;Right;FOFANA;2.0;74.0;Milieu;Youssouf;0.023333;185.0
123;1999-05-06;0.0;1.0;44;18.0;Right;DARI;0.0;82.0;Défenseur;Achraf;0.04;188.0
124;1996-02-12;0.0;0.0;44;10.0;Right;ELIS;0.0;82.0;Attaquant;Alberth;0.016667;185.0
125;2002-05-06;0.0;0.0;44;22.0;Left;LOCKO;0.0;65.0;Défenseur;Bradley;0.003333;180.0
126;1994-12-22;0.0;0.0;44;30.0;Right;CHARDONNET;0.0;74.0;Défenseur;Brendan;0.045;181.0
127;1992-08-22;0.0;0.0;44;16.0;Right;HERELLE;0.0;79.0;Défenseur;Christophe;0.055;188.0
128;1996-08-11;0.0;6.0;44;33.0;Right;HONORAT;6.0;70.0;Milieu;Franck;0.05;180.0
129;2003-08-07;0.0;0.0;44;13.0;Right;LEMARECHAL;0.0;73.0;Milieu;Félix;0.004167;180.0
130;1999-04-03;0.0;0.0;44;0.0;Left;COUDERT;0.0;83.0;Gardien;Grégoire;0.0025;188.0
131;1994-01-28;0.0;2.0;44;38.0;Right;BELKEBLA;0.0;68.0;Milieu;Haris;0.045;177.0
132;1998-05-30;0.0;1.0;44;32.0;Right;MAGNETTI;1.0;75.0;Milieu;Hugo;0.004167;180.0
133;1997-07-12;0.0;0.0;44;34.0;Right;DUVERNE;0.0;71.0;Défenseur;Jean-Kévin;0.018333;184.0
134;1994-07-13;0.0;0.0;44;6.0;Left;URONEN;1.0;69.0;Défenseur;Jere;0.04;177.0
135;2001-01-28;0.0;0.0;44;1.0;Right;BLAZQUEZ;0.0;87.0;Gardien;Joaquin;0.01;193.0
136;2003-03-21;0.0;0.0;44;0.0;Right;ESCARTIN;0.0;85.0;Milieu;Josue;0.004167;193.0
137;1998-04-21;0.0;10.0;44;32.0;Left;LE DOUARON;3.0;78.0;Attaquant;Jérémy;0.03;189.0
138;2003-02-22;0.0;0.0;44;15.0;Left;DEMBELE;0.0;65.0;Milieu;Karamoko;0.005;167.0
139;1991-10-03;0.0;0.0;44;17.0;Right;LALA;2.0;78.0;Milieu;Kenny;0.06;178.0
140;1999-11-02;0.0;0.0;44;36.0;Left;BRASSIER;0.0;78.0;Défenseur;Lilian;0.0075;186.0
141;1987-01-02;0.0;0.0;44;0.0;Right;REMY;0.0;82.0;Attaquant;Loic;0.075;185.0
142;1991-03-10;54.0;0.0;44;37.0;Right;BIZOT;0.0;88.0;Gardien;Marco;0.045;193.0
143;1996-11-30;0.0;2.0;44;24.0;Right;PEREIRA LAGE;2.0;69.0;Milieu;Mathias;0.0425;180.0
144;1999-12-03;0.0;1.0;44;21.0;Right;FADIGA;0.0;76.0;Défenseur;Noah;0.0175;187.0
145;1993-05-25;0.0;5.0;44;32.0;Right;LEES-MELOU;5.0;70.0;Milieu;Pierre;0.17;186.0
146;1996-03-29;0.0;6.0;44;27.0;Left;DEL CASTILLO;6.0;65.0;Milieu;Romain;0.045;172.0
147;1994-09-29;0.0;6.0;44;23.0;Right;MOUNIE;0.0;83.0;Attaquant;Steve;0.07;190.0
148;2003-11-12;0.0;0.0;44;4.0;Right;ARCONTE;0.0;76.0;Attaquant;Tairyk;0.005;181.0
149;1989-02-01;0.0;0.0;40;28.0;Right;SEIDU;0.0;80.0;Défenseur;Alidu;0.025;184.0
150;2001-06-24;0.0;0.0;40;6.0;Left;DIALLO;0.0;70.0;Défenseur;Baïla;0.008333;176.0
151;1993-05-09;0.0;3.0;40;32.0;Left;RASHANI;3.0;71.0;Milieu;Elbasan;0.011667;181.0
152;1989-03-21;0.0;0.0;40;26.0;Right;OGIER;1.0;73.0;Défenseur;Florent;0.035;183.0
153;1995-08-12;0.0;10.0;40;37.0;Right;KYEI;3.0;90.0;Attaquant;Grejohn;0.025;188.0
154;1995-02-27;0.0;1.0;40;36.0;Right;ALLEVINAH;1.0;70.0;Milieu;Jim;0.010833;172.0
155;1988-01-25;0.0;4.0;40;31.0;Right;GASTIEN;3.0;69.0;Milieu;Johan;0.045;179.0
156;1993-04-08;0.0;1.0;40;19.0;Right;BELA;1.0;71.0;Milieu;Jérémie;0.055;173.0
157;1995-07-01;0.0;4.0;40;34.0;Right;ANDRIC;2.0;86.0;Attaquant;Komnen;0.025;189.0
158;2001-02-12;0.0;0.0;40;0.0;Right;MARGUERON;0.0;85.0;Gardien;Lucas;0.0025;194.0
159;1997-02-11;0.0;0.0;40;35.0;Right;WIETESKA;1.0;77.0;Défenseur;Mateusz;0.0225;187.0
160;1989-03-10;0.0;1.0;40;25.0;Right;GONALONS;0.0;76.0;Milieu;Maxime;0.065;187.0
161;1997-02-16;0.0;1.0;40;26.0;Right;CAUFRIEZ;0.0;83.0;Défenseur;Maximiliano;0.044167;189.0
162;1992-05-19;0.0;1.0;40;18.0;Right;ZEFFANE;1.0;71.0;Défenseur;Mehdi;0.02;176.0
163;1993-06-22;47.0;0.0;40;37.0;Right;DIAW;0.0;98.0;Gardien;Mory;0.0275;197.0
164;2000-09-26;0.0;7.0;40;38.0;Left;CHAM;4.0;67.0;Milieu;Muhammed;0.0225;180.0
165;1998-04-22;2.0;0.0;40;1.0;Left;DJOCO;0.0;90.0;Gardien;Ouparine;0.001667;188.0
166;1995-04-27;0.0;7.0;40;34.0;Left;KHAOUI;3.0;68.0;Milieu;Saïf-Eddine;0.008333;180.0
167;1991-07-30;0.0;0.0;40;2.0;Right;CISSE;0.0;70.0;Défenseur;Souleymane;0.0025;172.0
168;1996-06-22;0.0;3.0;40;33.0;Right;BORGES;1.0;83.0;Défenseur;Neto;0.0375;188.0
169;2002-10-15;0.0;0.0;40;0.0;Right;KAMDEM;0.0;70.0;Défenseur;Oliver;0.038;176.0
170;2000-08-09;0.0;0.0;40;0.0;Right;DIABY;0.0;76.0;Attaquant;Yadaly;0.001;184.0
171;2002-09-20;0.0;0.0;40;6.0;Left;MASSOLIN;0.0;78.0;Milieu;Yanis;0.0025;197.0
172;1997-06-21;0.0;0.0;40;38.0;Right;MAGNIN;0.0;71.0;Milieu;Yohann;0.015;183.0
173;2002-07-15;0.0;0.0;7;11.0;Right;AOUCHICHE;0.0;72.0;Milieu;Adil;0.03;181.0
174;2001-12-03;0.0;1.0;7;17.0;Right;MEITE;0.0;75.0;Défenseur;Bamo;0.004167;183.0
175;1996-01-20;0.0;0.0;7;25.0;Right;INNOCENT;0.0;80.0;Milieu;Bonke;0.0225;178.0
176;1991-08-19;0.0;0.0;7;0.0;Right;DOUMBIA;0.0;65.0;Attaquant;Cheick;0.01;170.0
177;2000-03-23;0.0;4.0;7;25.0;Right;DIENG;1.0;72.0;Attaquant;Bamba;0.0375;178.0
178;2002-04-08;0.0;0.0;7;12.0;Right;DOUCOURE;1.0;75.0;Attaquant;Siriné;0.0075;193.0
179;2000-09-22;0.0;1.0;7;14.0;Left;YONGWA;2.0;65.0;Défenseur;Darlin;0.0175;174.0
180;2000-02-03;0.0;5.0;7;35.0;Right;LE FEE;5.0;58.0;Milieu;Enzo;0.008333;170.0
181;1997-08-29;0.0;0.0;7;29.0;Right;KALULU;4.0;74.0;Défenseur;Gédéon;0.045;176.0
182;1999-06-16;0.0;7.0;7;37.0;Left;KONE;1.0;83.0;Attaquant;Ibrahima;0.020833;190.0
183;1996-08-21;0.0;0.0;7;7.0;Right;SILVA;0.0;66.0;Défenseur;Igor;0.079;173.0
184;1996-08-21;0.0;0.0;7;0.0;Right;JAMES;0.0;66.0;Défenseur;Isaac;0.079;173.0
185;1998-06-12;0.0;0.0;7;15.0;Left;MAKENGO;0.0;75.0;Milieu;Jean-Victor;0.075;177.0
186;2002-11-12;0.0;0.0;7;0.0;Right;MVUKA;0.0;65.0;Milieu;Joel;0.023;173.0
187;1994-08-16;0.0;0.0;7;0.0;Right;POLLERSBECK;0.0;85.0;Gardien;Julian;0.084167;195.0
188;1993-11-04;0.0;0.0;7;20.0;Right;LAPORTE;0.0;82.0;Défenseur;Julien;0.036667;185.0
189;2000-11-28;0.0;1.0;7;30.0;Right;PONCEAU;3.0;62.0;Milieu;Julien;0.0325;170.0
190;1993-02-01;0.0;0.0;7;29.0;Right;ABERGEL;1.0;65.0;Milieu;Laurent;0.02;170.0
191;1996-02-29;0.0;1.0;7;38.0;Left;TALBI;2.0;76.0;Défenseur;Montassar;0.0475;187.0
192;1999-04-30;0.0;0.0;7;0.0;Right;JENZ;0.0;86.0;Défenseur;Moritz;0.021;190.0
193;1999-04-30;0.0;0.0;7;0.0;Right;DOUMBOUYA;0.0;86.0;Milieu;Malamine;0.021;190.0
194;1998-07-14;0.0;5.0;7;26.0;Left;FAIVRE;5.0;69.0;Milieu;Romain;0.1;180.0
195;1998-12-09;0.0;2.0;7;28.0;Left;DIARRA;0.0;58.0;Attaquant;Stéphane;0.018333;173.0
196;1997-06-05;0.0;0.0;7;0.0;Right;BARTOUCHE-SELBONNE;0.0;70.0;Gardien;Teddy;0.0025;178.0
197;2002-10-01;0.0;2.0;7;27.0;Right;LE BRIS;2.0;65.0;Milieu;Théo;0.015;170.0
198;1989-10-15;0.0;0.0;7;37.0;Left;LE GOFF;0.0;69.0;Défenseur;Vincent;0.020833;177.0
199;1988-03-02;24.0;0.0;7;18.0;Right;MANNONE;0.0;77.0;Gardien;Vito;0.02;189.0
200;2002-07-22;0.0;1.0;7;23.0;Right;CATHLINE;1.0;68.0;Attaquant;Yoann;0.015;176.0
201;1994-06-06;29.0;0.0;7;21.0;Right;MVOGO;0.0;93.0;Gardien;Yvon;0.06;189.0
202;1999-01-23;54.0;0.0;12;37.0;Right;LAFONT;0.0;90.0;Gardien;Alban;0.085;196.0
203;1992-02-17;0.0;1.0;12;36.0;Right;GIROTTO;1.0;79.0;Défenseur;Andrei;0.09;186.0
204;1991-10-09;0.0;6.0;12;26.0;Right;DELORT;1.0;83.0;Attaquant;Andy;0.21;181.0
205;1992-01-01;0.0;0.0;12;12.0;Left;TRAORE;0.0;74.0;Défenseur;Charles;0.045;180.0
206;1992-01-01;0.0;0.0;12;0.0;Left;YAFFA;0.0;74.0;Défenseur;Cheickné;0.043;180.0
207;1988-05-24;0.0;0.0;12;0.0;Right;PETRIC;0.0;80.0;Gardien;Denis;0.018333;187.0
208;1988-05-24;0.0;0.0;12;0.0;Right;LUKOKI MATESO;0.0;80.0;Attaquant;Edoly;0.02;186.0
209;2001-07-01;0.0;3.0;12;30.0;Right;GUESSAND;1.0;79.0;Attaquant;Evann;0.025;185.0
210;1996-01-16;0.0;0.0;12;23.0;Right;CENTONZE;1.0;75.0;Défenseur;Fabien;0.078333;182.0
211;1991-11-19;0.0;1.0;12;19.0;Right;MOLLET;2.0;68.0;Milieu;Florent;0.136667;174.0
212;2002-04-09;0.0;0.0;12;0.0;Right;MANVELYAN;0.0;68.0;Attaquant;Gor;0.001667;180.0
213;1999-02-16;0.0;5.0;12;32.0;Right;GANAGO;3.0;78.0;Attaquant;Ignatius;0.065;176.0
214;2003-03-26;0.0;0.0;12;13.0;Left;HADJAM;0.0;83.0;Défenseur;Jaouen;0.020833;184.0
215;1995-01-26;0.0;0.0;12;32.0;Right;CASTELLETTO;0.0;78.0;Défenseur;Jean-Charles;0.045;186.0
216;1992-08-21;0.0;0.0;12;13.0;Left;VICTOR;1.0;73.0;Défenseur;Joao;0.135833;185.0
217;2002-06-29;0.0;0.0;12;0.0;Right;AFFAMAH;0.0;70.0;Attaquant;Joe-Loïc;0.003333;175.0
218;2002-09-14;0.0;0.0;12;9.0;Right;DOUCET;0.0;75.0;Milieu;Lohann;0.004167;180.0
219;1997-12-31;0.0;7.0;12;37.0;Left;BLAS;5.0;70.0;Milieu;Ludovic;0.08;180.0
220;1996-06-24;0.0;1.0;12;26.0;Right;COCO;0.0;78.0;Attaquant;Marcus;0.04;184.0
221;1995-07-12;0.0;5.0;12;34.0;Right;SIMON;4.0;69.0;Attaquant;Moses;0.15;168.0
222;1997-11-28;0.0;8.0;12;36.0;Right;MOHAMED;2.0;78.0;Attaquant;Mostafa;0.1475;185.0
223;1989-08-16;0.0;2.0;12;30.0;Right;SISSOKO;1.0;90.0;Milieu;Moussa;0.31;187.0
224;1987-09-19;0.0;1.0;12;26.0;Left;PALLOIS;0.0;89.0;Défenseur;Nicolas;0.11;189.0
225;1992-11-06;0.0;0.0;12;26.0;Right;CHIRIVELLA;0.0;88.0;Milieu;Pedro;0.06;185.0
226;2002-05-16;0.0;1.0;12;24.0;Left;MERLIN;2.0;68.0;Milieu;Quentin;0.005833;174.0
227;1996-06-25;1.0;0.0;12;1.0;Left;DESCAMPS;0.0;82.0;Gardien;Remy;0.01;196.0
228;1996-08-12;0.0;0.0;12;35.0;Left;MOUTOUSSAMY;1.0;72.0;Milieu;Samuel;0.0175;176.0
229;2002-10-02;0.0;0.0;12;0.0;Left;YEPIE YEPIE;0.0;62.0;Milieu;Samuel;0.004167;171.0
230;1990-11-01;0.0;0.0;12;22.0;Right;CORCHIA;1.0;69.0;Défenseur;Sébastien;0.075;176.0
